banco,eixo,query,grupo,execucao,warmup,latencia_ms,linhas,mem_kb,db_hits,page_cache_hits,page_cache_misses
neo4j,ed_basica,4,agregacao,9,False,71,645,112.6,686574,159475,0
neo4j,ed_basica,4,agregacao,10,False,68,645,112.6,686574,159475,0
neo4j,ed_basica,4,agregacao,11,False,129,645,112.6,686574,159475,0
neo4j,ed_basica,4,agregacao,12,False,94,645,112.6,686574,159475,0
neo4j,ed_basica,4,agregacao,13,False,94,645,112.6,686574,159475,0
neo4j,ed_basica,4,agregacao,14,False,97,645,112.6,686574,159475,0
neo4j,ed_basica,4,agregacao,15,False,102,645,112.6,686574,159475,0
neo4j,ed_basica,4,agregacao,16,False,100,645,112.6,686574,159475,0
neo4j,ed_basica,4,agregacao,17,False,90,645,112.6,686574,159475,0
neo4j,ed_basica,4,agregacao,18,False,90,645,112.6,686574,159475,0
neo4j,ed_basica,4,agregacao,19,False,80,645,112.6,686574,159475,0
neo4j,ed_basica,4,agregacao,20,False,75,645,112.6,686574,159475,0
neo4j,ed_basica,4,agregacao,21,False,72,645,112.6,686574,159475,0
neo4j,ed_basica,5,filtro,1,True,323,1372,453.2,681012,152475,850
neo4j,ed_basica,5,filtro,2,False,112,1372,453.2,681012,153325,0
neo4j,ed_basica,5,filtro,3,False,119,1372,453.2,681012,153325,0
neo4j,ed_basica,5,filtro,4,False,99,1372,453.2,681012,153325,0
neo4j,ed_basica,5,filtro,5,False,103,1372,453.2,681012,153325,0
neo4j,ed_basica,5,filtro,6,False,98,1372,453.2,681012,153325,0
neo4j,ed_basica,5,filtro,7,False,94,1372,453.2,681012,153325,0
neo4j,ed_basica,5,filtro,8,False,89,1372,453.2,681012,153325,0
neo4j,ed_basica,5,filtro,9,False,87,1372,453.2,681012,153325,0
neo4j,ed_basica,5,filtro,10,False,80,1372,453.2,681012,153325,0
neo4j,ed_basica,5,filtro,11,False,151,1372,453.2,681012,153325,0
neo4j,ed_basica,5,filtro,12,False,128,1372,453.2,681012,153325,0
neo4j,ed_basica,5,filtro,13,False,97,1372,453.2,681012,153325,0
neo4j,ed_basica,5,filtro,14,False,95,1372,453.2,681012,153325,0
neo4j,ed_basica,5,filtro,15,False,99,1372,453.2,681012,153325,0
neo4j,ed_basica,5,filtro,16,False,91,1372,453.2,681012,153325,0
neo4j,ed_basica,5,filtro,17,False,94,1372,453.2,681012,153325,0
neo4j,ed_basica,5,filtro,18,False,89,1372,453.2,681012,153325,0
neo4j,ed_basica,5,filtro,19,False,82,1372,453.2,681012,153325,0
neo4j,ed_basica,5,filtro,20,False,86,1372,453.2,681012,153325,0
neo4j,ed_basica,5,filtro,21,False,80,1372,453.2,681012,153325,0
neo4j,ed_basica,6,anti_join,1,True,1012,20,6602.4,2802478,978333,46152
neo4j,ed_basica,6,anti_join,2,False,378,20,6602.4,2802478,1013629,10856
neo4j,ed_basica,6,anti_join,3,False,253,20,6603.2,2802478,1013673,10812
neo4j,ed_basica,6,anti_join,4,False,228,20,6603.2,2802478,1019805,4680
neo4j,ed_basica,6,anti_join,5,False,214,20,6602.4,2802478,1024619,0
neo4j,ed_basica,6,anti_join,6,False,206,20,6602.4,2802478,1024665,0
neo4j,ed_basica,6,anti_join,7,False,206,20,6603.2,2802478,1024665,0
neo4j,ed_basica,6,anti_join,8,False,203,20,6602.4,2802478,1024665,0
neo4j,ed_basica,6,anti_join,9,False,201,20,6602.4,2802478,1024665,0
neo4j,ed_basica,6,anti_join,10,False,191,20,6602.4,2802478,1024665,0
neo4j,ed_basica,6,anti_join,11,False,372,20,6602.4,2802478,1024665,0
neo4j,ed_basica,6,anti_join,12,False,265,20,6603.2,2802478,1024665,0
neo4j,ed_basica,6,anti_join,13,False,240,20,6602.4,2802478,1024665,0
neo4j,ed_basica,6,anti_join,14,False,214,20,6602.4,2802478,1024665,0
neo4j,ed_basica,6,anti_join,15,False,203,20,6602.4,2802478,1024665,0
neo4j,ed_basica,6,anti_join,16,False,200,20,6603.2,2802478,1024665,0
neo4j,ed_basica,6,anti_join,17,False,194,20,6603.2,2802478,1024665,0
neo4j,ed_basica,6,anti_join,18,False,195,20,6603.2,2802478,1024665,0
neo4j,ed_basica,6,anti_join,19,False,198,20,6602.4,2802478,1024665,0
neo4j,ed_basica,6,anti_join,20,False,201,20,6602.4,2802478,1024665,0
neo4j,ed_basica,6,anti_join,21,False,195,20,6602.4,2802478,1024665,0
neo4j,ed_basica,7,filtro,1,True,387,47,8.2,804959,170489,13770
neo4j,ed_basica,7,filtro,2,False,174,47,8.2,804959,180162,4097
neo4j,ed_basica,7,filtro,3,False,139,47,8.2,804959,184259,0
neo4j,ed_basica,7,filtro,4,False,137,47,8.2,804959,184259,0
neo4j,ed_basica,7,filtro,5,False,137,47,8.2,804959,184259,0
neo4j,ed_basica,7,filtro,6,False,140,47,8.2,804959,184259,0
neo4j,ed_basica,7,filtro,7,False,129,47,8.2,804959,184259,0
neo4j,ed_basica,7,filtro,8,False,120,47,8.2,804959,184259,0
neo4j,ed_basica,7,filtro,9,False,122,47,8.2,804959,184259,0
neo4j,ed_basica,7,filtro,10,False,111,47,8.2,804959,184259,0
neo4j,ed_basica,7,filtro,11,False,184,47,8.2,804959,184259,0
neo4j,ed_basica,7,filtro,12,False,148,47,8.2,804959,184259,0
neo4j,ed_basica,7,filtro,13,False,140,47,8.2,804959,184259,0
neo4j,ed_basica,7,filtro,14,False,138,47,8.2,804959,184259,0
neo4j,ed_basica,7,filtro,15,False,134,47,8.2,804959,184259,0
neo4j,ed_basica,7,filtro,16,False,137,47,8.2,804959,184259,0
neo4j,ed_basica,7,filtro,17,False,123,47,8.2,804959,184259,0
neo4j,ed_basica,7,filtro,18,False,115,47,8.2,804959,184259,0
neo4j,ed_basica,7,filtro,19,False,132,47,8.2,804959,184259,0
neo4j,ed_basica,7,filtro,20,False,103,47,8.2,804959,184259,0
neo4j,ed_basica,7,filtro,21,False,98,47,8.2,804959,184259,0
neo4j,ed_basica,8,agregacao,1,True,700,921,1460.2,3755428,1131713,16135
neo4j,ed_basica,8,agregacao,2,False,376,921,1460.2,3755428,1147848,0
neo4j,ed_basica,8,agregacao,3,False,259,921,1460.2,3755428,1147848,0
neo4j,ed_basica,8,agregacao,4,False,249,921,1460.2,3755428,1147848,0
neo4j,ed_basica,8,agregacao,5,False,228,921,1460.2,3755428,1147848,0
neo4j,ed_basica,8,agregacao,6,False,229,921,1460.2,3755428,1147848,0
neo4j,ed_basica,8,agregacao,7,False,215,921,1460.2,3755428,1147848,0
neo4j,ed_basica,8,agregacao,8,False,208,921,1460.2,3755428,1147848,0
neo4j,ed_basica,8,agregacao,9,False,212,921,1460.2,3755428,1147848,0
neo4j,ed_basica,8,agregacao,10,False,206,921,1460.2,3755428,1147848,0
neo4j,ed_basica,8,agregacao,11,False,372,921,1460.2,3755428,1147848,0
neo4j,ed_basica,8,agregacao,12,False,279,921,1460.2,3755428,1147848,0
neo4j,ed_basica,8,agregacao,13,False,281,921,1460.2,3755428,1147848,0
neo4j,ed_basica,8,agregacao,14,False,217,921,1460.2,3755428,1147848,0
neo4j,ed_basica,8,agregacao,15,False,212,921,1460.2,3755428,1147848,0
neo4j,ed_basica,8,agregacao,16,False,207,921,1460.2,3755428,1147848,0
neo4j,ed_basica,8,agregacao,17,False,206,921,1460.2,3755428,1147848,0
neo4j,ed_basica,8,agregacao,18,False,203,921,1460.2,3755428,1147848,0
neo4j,ed_basica,8,agregacao,19,False,209,921,1460.2,3755428,1147848,0
neo4j,ed_basica,8,agregacao,20,False,203,921,1460.2,3755428,1147848,0
neo4j,ed_basica,8,agregacao,21,False,213,921,1460.2,3755428,1147848,0
neo4j,ed_basica,9,filtro,1,True,289,11,1.8,1079669,289645,6077
neo4j,ed_basica,9,filtro,2,False,113,11,1.8,1079669,295722,0
neo4j,ed_basica,9,filtro,3,False,110,11,1.8,1079669,295722,0
neo4j,ed_basica,9,filtro,4,False,109,11,1.8,1079669,295722,0
neo4j,ed_basica,9,filtro,5,False,106,11,1.8,1079669,295722,0
neo4j,ed_basica,9,filtro,6,False,101,11,1.8,1079669,295722,0
neo4j,ed_basica,9,filtro,7,False,102,11,1.8,1079669,295722,0
